Transaction_ID,Transaction_Date,Sender_ID,Receiver_ID,Sender_Bank,Receiver_Bank,City,Device_Type,Transaction_Type,Amount_INR,Transaction_Status,Account_Age_Days,Transactions_Last_24H,Avg_Transaction_Amount_7D,Failed_Transactions_24H,IP_Risk_Score,Device_Risk_Score,Location_Change_KM,Fraud_Reason,Fraud_Label,Is_Fraud
UPI1000032,01-01-25 5:20,CUST45773,MER5315,Canara Bank,Kotak,Mumbai,Android,Collect Request,838.19,Success,183,3,798.58,0,86.75,74.74,2.32,Normal Activity,Legitimate,0
UPI1000033,01-01-25 5:30,CUST77435,MER3414,HDFC,SBI,Bengaluru,Android,QR Code,772.46,Success,2917,5,1190.36,1,95.04,27.52,9.65,Normal Activity,Legitimate,0
UPI1000034,01-01-25 5:40,CUST66886,MER6315,HDFC,ICICI,Kolkata,Android,UPI ID,357.64,Success,136,4,345.76,2,13.23,92.65,0.43,Normal Activity,Legitimate,0
UPI1000035,01-01-25 5:50,CUST76803,MER5779,ICICI,Axis,Hyderabad,Android,UPI ID,858.3,Success,943,4,644.56,0,39.6,87.19,9.03,Normal Activity,Fraud,1
UPI1000036,01-01-25 6:00,CUST41551,MER4820,Bank of Baroda,ICICI,Kolkata,Android,Mobile Number,366.98,Success,1780,5,106.51,0,22.33,45.9,17.55,Normal Activity,Legitimate,0
UPI1000037,01-01-25 6:10,CUST21394,MER6806,SBI,Kotak,Delhi,Android,Mobile Number,99.97,Success,2724,4,540.03,1,96.71,54.44,10.92,Normal Activity,Legitimate,0
UPI1000038,01-01-25 6:20,CUST79092,MER2969,Bank of Baroda,Kotak,Chennai,Android,QR Code,148.35,Success,145,1,501.48,0,88.19,25.52,9.55,Normal Activity,Legitimate,0
UPI1000039,01-01-25 6:30,CUST13890,MER2759,Kotak,SBI,Bhopal,iOS,QR Code,2355.54,Success,1062,2,187.79,1,78.31,63.44,11.71,Unusual Transaction Amount,Fraud,1
UPI1000040,01-01-25 6:40,CUST51606,MER4125,HDFC,Axis,Delhi,Android,UPI ID,849.79,Success,651,3,1080.22,0,99.77,39.19,12.53,Normal Activity,Legitimate,0
UPI1000041,01-01-25 6:50,CUST90038,MER7566,SBI,Canara Bank,Bengaluru,Android,Mobile Number,257.35,Success,1851,1,237.91,0,85.09,33.71,5.91,Normal Activity,Legitimate,0
UPI1000042,01-01-25 7:00,CUST97313,MER8865,Kotak,PNB,Delhi,Android,UPI ID,231.81,Success,2135,6,779.05,0,7.52,20.55,2.82,Normal Activity,Legitimate,0
UPI1000043,01-01-25 7:10,CUST20627,MER3281,ICICI,HDFC,Pune,Android,Mobile Number,151.95,Success,2367,3,610.08,0,95.37,24.03,2.46,Normal Activity,Fraud,1
UPI1000044,01-01-25 7:20,CUST18792,MER6229,PNB,Canara Bank,Kolkata,Android,UPI ID,272.98,Success,1530,5,542.09,0,44.19,42.25,18.85,Normal Activity,Legitimate,0
UPI1000045,01-01-25 7:30,CUST83969,MER2123,Kotak,PNB,Bengaluru,Android,QR Code,292.24,Success,1169,4,180.99,0,78.74,58.69,26.05,Normal Activity,Legitimate,0
UPI1000046,01-01-25 7:40,CUST53001,MER6831,PNB,Axis,Kolkata,Android,QR Code,2969.27,Success,1077,5,198.83,0,79.91,2.85,3.34,Normal Activity,Legitimate,0
UPI1000047,01-01-25 7:50,CUST86552,MER2234,Canara Bank,ICICI,Bengaluru,iOS,QR Code,550.49,Success,76,5,522.13,0,75.05,94.06,11.13,Normal Activity,Legitimate,0
UPI1000048,01-01-25 8:00,CUST33897,MER7876,Axis,SBI,Pune,Android,Collect Request,1178.13,Success,710,3,428.76,0,91.26,48.1,1.51,Normal Activity,Legitimate,0
UPI1000049,01-01-25 8:10,CUST78148,MER8570,Canara Bank,PNB,Hyderabad,Android,Collect Request,388.02,Pending,162,3,273.55,0,85.64,15.6,7.65,Normal Activity,Legitimate,0
UPI1000050,01-01-25 8:20,CUST33483,MER6956,PNB,HDFC,Pune,iOS,UPI ID,986.82,Success,2089,6,408.83,0,36.05,65.34,7.3,Normal Activity,Legitimate,0
UPI1000051,01-01-25 8:30,CUST58555,MER1674,Canara Bank,Canara Bank,Bhopal,Android,UPI ID,2187.43,Success,1656,5,312.27,1,35.82,47.85,4.2,Normal Activity,Legitimate,0
UPI1000052,01-01-25 8:40,CUST27159,MER6513,ICICI,HDFC,Hyderabad,iOS,Collect Request,1195.84,Success,1373,2,224.33,0,65,47.49,2.15,Normal Activity,Legitimate,0
UPI1000053,01-01-25 8:50,CUST90077,MER3305,HDFC,Bank of Baroda,Jaipur,Android,UPI ID,577.64,Success,271,4,397.27,0,57.63,40.36,8.01,Normal Activity,Legitimate,0
UPI1000054,01-01-25 9:00,CUST45920,MER2268,Axis,Bank of Baroda,Chennai,Android,QR Code,246.06,Success,987,3,420.11,0,97.29,77.85,2.19,Normal Activity,Legitimate,0
UPI1000055,01-01-25 9:10,CUST77121,MER6097,Canara Bank,Bank of Baroda,Bhopal,iOS,Mobile Number,2112.76,Success,1444,4,132.46,0,94.09,15.49,12.15,Normal Activity,Legitimate,0
UPI1000056,01-01-25 9:20,CUST79479,MER4221,SBI,PNB,Ahmedabad,Android,QR Code,277.33,Success,2622,0,135.43,1,36.14,12.71,0.1,Normal Activity,Legitimate,0
UPI1000057,01-01-25 9:30,CUST99475,MER5719,HDFC,ICICI,Ahmedabad,Android,Collect Request,311.53,Success,1845,1,393.29,1,35.66,39.1,3.54,Normal Activity,Legitimate,0
UPI1000058,01-01-25 9:40,CUST29457,MER5194,Axis,Bank of Baroda,Pune,Android,QR Code,1481.62,Success,2818,2,48.37,0,62.75,90.35,3.68,Normal Activity,Legitimate,0
UPI1000059,01-01-25 9:50,CUST76557,MER2249,PNB,SBI,Bhopal,iOS,UPI ID,337.41,Success,198,4,177.01,1,40.81,86.59,7.02,Normal Activity,Legitimate,0
UPI1000060,01-01-25 10:00,CUST87189,MER5029,PNB,HDFC,Hyderabad,iOS,UPI ID,358.9,Success,1289,2,92.22,1,57.27,52.78,2.89,Normal Activity,Legitimate,0
UPI1000061,01-01-25 10:10,CUST88953,MER3860,ICICI,SBI,Jaipur,Android,Mobile Number,6909.55,Success,968,9,509.87,3,89.32,99.31,3.71,High IP & Device Risk,Fraud,1
UPI1000062,01-01-25 10:20,CUST62995,MER4513,Axis,ICICI,Chennai,Android,QR Code,599.02,Success,456,2,287.93,1,75.24,99.52,3.16,Normal Activity,Legitimate,0
UPI1000063,01-01-25 10:30,CUST50757,MER4219,Bank of Baroda,ICICI,Mumbai,Android,QR Code,636.61,Success,402,3,297.8,2,58.42,18.32,6.09,Normal Activity,Legitimate,0
UPI1000064,01-01-25 10:40,CUST19692,MER9370,Axis,SBI,Hyderabad,Android,QR Code,129.12,Failed,2316,1,412.26,0,14.35,90.75,51.38,Normal Activity,Legitimate,0
UPI1000065,01-01-25 10:50,CUST55758,MER3199,PNB,Canara Bank,Bhopal,Android,QR Code,302.24,Success,1363,2,312.95,1,38.44,78.7,31.06,Normal Activity,Fraud,1
UPI1000066,01-01-25 11:00,CUST82409,MER5930,PNB,Bank of Baroda,Hyderabad,Android,UPI ID,348.1,Success,2463,3,136.7,1,80.24,76.48,3.65,High IP & Device Risk,Fraud,1
UPI1000067,01-01-25 11:10,CUST81211,MER5677,HDFC,PNB,Chennai,Android,Mobile Number,272.55,Pending,1402,2,557.83,0,41.97,10.84,7.53,Normal Activity,Legitimate,0
UPI1000068,01-01-25 11:20,CUST75697,MER6472,PNB,PNB,Chennai,Android,Collect Request,62.1,Success,2608,4,282.78,0,97.37,69.94,3.27,Normal Activity,Legitimate,0
UPI1000069,01-01-25 11:30,CUST47065,MER7708,Axis,ICICI,Hyderabad,Android,QR Code,1586.43,Success,337,5,493.32,0,62.64,45.86,14.25,Normal Activity,Legitimate,0
UPI1000070,01-01-25 11:40,CUST42606,MER8841,Kotak,Canara Bank,Ahmedabad,Android,Mobile Number,1666.18,Success,1805,8,431.78,0,94.83,15.64,6.01,Normal Activity,Legitimate,0
UPI1000071,01-01-25 11:50,CUST21534,MER8830,PNB,PNB,Kolkata,Android,UPI ID,561.82,Failed,147,2,477.92,1,97.42,29.55,14.11,Normal Activity,Legitimate,0
UPI1000072,01-01-25 12:00,CUST50397,MER3529,Canara Bank,PNB,Bengaluru,Android,Mobile Number,1960.61,Success,906,3,732.98,0,67.48,43.72,28.63,Normal Activity,Fraud,1
UPI1000073,01-01-25 12:10,CUST11016,MER8470,HDFC,Bank of Baroda,Jaipur,Android,Mobile Number,110.16,Pending,2289,3,657.98,0,15.82,62.51,7.38,Normal Activity,Legitimate,0
UPI1000074,01-01-25 12:20,CUST99789,MER3473,Kotak,ICICI,Bhopal,iOS,QR Code,1178,Success,2452,8,1352.46,1,77.13,67.38,10.96,Normal Activity,Legitimate,0
UPI1000075,01-01-25 12:30,CUST65591,MER2085,Axis,HDFC,Hyderabad,iOS,UPI ID,813.73,Success,762,2,672.21,0,82.62,56.83,5.01,Normal Activity,Legitimate,0
UPI1000076,01-01-25 12:40,CUST99812,MER8362,PNB,Canara Bank,Mumbai,Android,QR Code,3708.29,Success,892,0,1158.93,2,55.04,4.88,4.6,Normal Activity,Legitimate,0
UPI1000077,01-01-25 12:50,CUST33247,MER5662,Bank of Baroda,Bank of Baroda,Hyderabad,Android,Collect Request,407.06,Success,2429,5,501.23,1,99.64,30.33,1.17,Normal Activity,Legitimate,0
UPI1000078,01-01-25 13:00,CUST34300,MER4434,Kotak,SBI,Bhopal,Android,Collect Request,551.6,Success,2112,5,384.47,0,12.37,85.09,9.23,Normal Activity,Legitimate,0
UPI1000079,01-01-25 13:10,CUST84065,MER8728,Bank of Baroda,ICICI,Pune,Android,QR Code,445.4,Success,1944,2,264.87,1,77.89,33.17,3.72,Normal Activity,Legitimate,0
UPI1000080,01-01-25 13:20,CUST92798,MER3665,ICICI,Canara Bank,Hyderabad,Android,UPI ID,504.79,Success,683,5,342.06,0,77.03,57.65,2.7,Normal Activity,Legitimate,0
UPI1000081,01-01-25 13:30,CUST19268,MER9475,PNB,Axis,Jaipur,Android,QR Code,723.53,Success,1598,1,1292.94,0,95.33,16.45,2.54,Normal Activity,Legitimate,0
UPI1000082,01-01-25 13:40,CUST96807,MER5471,ICICI,Axis,Kolkata,Android,QR Code,2010.4,Success,2356,4,701.17,0,34.96,1.11,0.51,Normal Activity,Legitimate,0
UPI1000083,01-01-25 13:50,CUST22185,MER7519,Axis,ICICI,Bengaluru,Android,Mobile Number,144.58,Success,1627,3,602.32,1,61,14.48,4.34,Normal Activity,Legitimate,0
UPI1000084,01-01-25 14:00,CUST73704,MER1787,Kotak,Kotak,Mumbai,iOS,QR Code,708.63,Success,919,3,203.02,0,72.29,12.48,15.89,Normal Activity,Legitimate,0
UPI1000085,01-01-25 14:10,CUST96779,MER7905,Axis,Axis,Ahmedabad,Android,QR Code,348.01,Success,1024,2,357.88,0,34.69,13.67,1,Normal Activity,Legitimate,0
UPI1000086,01-01-25 14:20,CUST49099,MER8988,ICICI,Bank of Baroda,Bengaluru,Android,Collect Request,1917.73,Success,974,5,274.55,0,36.76,40.03,27.39,Normal Activity,Legitimate,0
UPI1000087,01-01-25 14:30,CUST18571,MER8206,Canara Bank,HDFC,Jaipur,Android,UPI ID,632.53,Failed,2874,7,312.63,1,57.43,63.81,2.42,Normal Activity,Legitimate,0
UPI1000088,01-01-25 14:40,CUST48044,MER3133,Kotak,HDFC,Kolkata,Android,UPI ID,649.05,Success,2883,5,338.63,0,4.48,3.16,5.51,Normal Activity,Legitimate,0
UPI1000089,01-01-25 14:50,CUST61214,MER3421,ICICI,Canara Bank,Jaipur,Android,UPI ID,554.64,Success,51,0,839.87,1,8.39,47.3,6.1,Normal Activity,Legitimate,0
UPI1000090,01-01-25 15:00,CUST71228,MER4931,Kotak,HDFC,Hyderabad,iOS,QR Code,977.32,Success,77,4,360,0,73.53,18.65,3.99,Normal Activity,Legitimate,0
UPI1000091,01-01-25 15:10,CUST58984,MER7025,PNB,ICICI,Hyderabad,Android,QR Code,1352.63,Success,425,5,344.46,0,35.56,17.69,3.44,Normal Activity,Legitimate,0
UPI1000092,01-01-25 15:20,CUST50774,MER6327,HDFC,PNB,Mumbai,Android,QR Code,264.89,Success,2175,4,281.89,0,39.2,42.05,14.48,Normal Activity,Legitimate,0
UPI1000093,01-01-25 15:30,CUST12568,MER9816,Canara Bank,ICICI,Hyderabad,Android,UPI ID,153.17,Success,2417,0,653.86,0,60.12,24.4,14.63,Normal Activity,Legitimate,0
UPI1000094,01-01-25 15:40,CUST72592,MER8126,Axis,PNB,Hyderabad,Android,UPI ID,287.99,Failed,2704,2,578.02,0,27.71,74.54,0.83,Normal Activity,Legitimate,0
UPI1000095,01-01-25 15:50,CUST77563,MER9192,Bank of Baroda,Axis,Mumbai,Android,QR Code,174.55,Reversed,1814,3,218.48,0,74.98,11.88,20.82,Normal Activity,Legitimate,0
UPI1000096,01-01-25 16:00,CUST12695,MER5505,Bank of Baroda,Canara Bank,Hyderabad,Web,UPI ID,223.88,Success,1380,6,775,0,69.64,64.78,3.36,Normal Activity,Legitimate,0
UPI1000097,01-01-25 16:10,CUST58190,MER7881,PNB,Canara Bank,Delhi,Android,QR Code,284.64,Success,383,2,125.67,0,7.68,12.9,3.57,Normal Activity,Legitimate,0
UPI1000098,01-01-25 16:20,CUST15258,MER7523,PNB,HDFC,Delhi,iOS,QR Code,652.99,Success,1440,4,484.69,0,12.74,17.4,20.66,Normal Activity,Legitimate,0
UPI1000099,01-01-25 16:30,CUST97538,MER1798,Kotak,HDFC,Bengaluru,Android,UPI ID,923.96,Success,1354,2,454.44,0,53.31,82.69,18.74,Normal Activity,Legitimate,0
UPI1000100,01-01-25 16:40,CUST49504,MER4462,PNB,Kotak,Mumbai,iOS,QR Code,226.66,Success,2964,1,1096.37,0,4.46,82.27,5.45,Normal Activity,Legitimate,0
UPI1000101,01-01-25 16:50,CUST43159,MER8495,PNB,ICICI,Jaipur,Android,QR Code,1183.94,Success,370,4,1203.51,0,48.58,65.82,2.6,Normal Activity,Legitimate,0
UPI1000102,01-01-25 17:00,CUST23986,MER2327,Kotak,Bank of Baroda,Chennai,Android,UPI ID,1621.18,Success,779,5,159.22,1,31.99,93.06,3.98,Normal Activity,Legitimate,0
UPI1000103,01-01-25 17:10,CUST71858,MER8449,HDFC,Axis,Mumbai,Android,Mobile Number,875.47,Success,2374,7,1240.85,1,79.43,85.75,2.04,Normal Activity,Legitimate,0
UPI1000104,01-01-25 17:20,CUST22666,MER9886,Canara Bank,Axis,Delhi,Android,QR Code,424.27,Success,2428,9,302.09,0,22.43,51.6,12.57,Normal Activity,Legitimate,0
UPI1000105,01-01-25 17:30,CUST48660,MER1185,SBI,ICICI,Hyderabad,Android,UPI ID,1420.62,Reversed,1878,2,722.13,0,83.37,57.02,5.18,Normal Activity,Legitimate,0
UPI1000106,01-01-25 17:40,CUST13561,MER9669,HDFC,Canara Bank,Bhopal,Android,QR Code,213.75,Success,1498,5,112.86,0,47.2,74.5,12.22,Normal Activity,Legitimate,0
UPI1000107,01-01-25 17:50,CUST36854,MER8031,Kotak,PNB,Mumbai,Android,UPI ID,326.23,Success,879,3,45.7,0,32.81,8.97,1.89,Normal Activity,Legitimate,0
UPI1000108,01-01-25 18:00,CUST74505,MER7684,PNB,HDFC,Hyderabad,Android,QR Code,782.89,Success,798,2,201.74,0,61.8,2.65,7.51,Normal Activity,Legitimate,0
UPI1000109,01-01-25 18:10,CUST62251,MER8591,PNB,SBI,Bengaluru,Android,QR Code,1350.99,Success,2619,1,767.34,2,67.07,14.33,12.05,Normal Activity,Legitimate,0
UPI1000110,01-01-25 18:20,CUST32662,MER3749,Bank of Baroda,PNB,Mumbai,iOS,QR Code,2382.15,Success,1324,6,328.2,0,62.69,3.44,3.64,Normal Activity,Legitimate,0
UPI1000111,01-01-25 18:30,CUST18392,MER3945,SBI,PNB,Kolkata,iOS,Collect Request,391.5,Success,2973,6,474.1,1,76.01,27.77,0.34,Normal Activity,Legitimate,0
UPI1000112,01-01-25 18:40,CUST40535,MER7562,Canara Bank,Axis,Jaipur,Android,Mobile Number,217.67,Failed,470,2,143.72,0,50.41,5.45,1.37,Normal Activity,Legitimate,0
UPI1000113,01-01-25 18:50,CUST88603,MER4398,PNB,PNB,Jaipur,Android,UPI ID,900.89,Success,1712,4,448,1,78.26,92.55,5.01,Normal Activity,Legitimate,0
UPI1000114,01-01-25 19:00,CUST62256,MER9386,Canara Bank,Canara Bank,Kolkata,Android,QR Code,521.81,Success,1322,4,416.5,1,58.36,35.61,3.17,Normal Activity,Legitimate,0
UPI1000115,01-01-25 19:10,CUST99135,MER9060,ICICI,ICICI,Kolkata,Android,UPI ID,2020.51,Success,2793,6,239.18,0,70.41,40.23,0.21,Normal Activity,Legitimate,0
UPI1000116,01-01-25 19:20,CUST45222,MER1078,Axis,HDFC,Jaipur,Android,UPI ID,361.22,Success,2015,2,503.27,1,25.97,84.27,7.19,Normal Activity,Legitimate,0
UPI1000117,01-01-25 19:30,CUST87373,MER2121,Bank of Baroda,HDFC,Ahmedabad,Android,Collect Request,834.87,Success,1523,2,530.71,0,50.87,61.84,4.66,Normal Activity,Fraud,1
UPI1000118,01-01-25 19:40,CUST89575,MER4221,SBI,Bank of Baroda,Hyderabad,iOS,Collect Request,198.67,Success,2065,5,281.24,2,76.69,50.82,25.6,Normal Activity,Legitimate,0
UPI1000119,01-01-25 19:50,CUST94651,MER9977,ICICI,PNB,Ahmedabad,Web,Mobile Number,593.33,Success,2452,4,1128.89,0,98.21,43.81,1.03,Normal Activity,Legitimate,0
UPI1000120,01-01-25 20:00,CUST73335,MER3861,PNB,HDFC,Bhopal,Android,UPI ID,285.38,Success,225,4,303.52,1,77.8,2.49,0.29,Normal Activity,Legitimate,0
UPI1000121,01-01-25 20:10,CUST20965,MER9638,Bank of Baroda,Kotak,Mumbai,Android,QR Code,1137.29,Success,1522,3,725.99,1,99.21,51.2,4.26,Normal Activity,Fraud,1
UPI1000122,01-01-25 20:20,CUST34538,MER5218,Kotak,PNB,Bhopal,Android,UPI ID,3289.99,Success,1608,6,350.83,0,23.57,34.27,3.51,Normal Activity,Legitimate,0
UPI1000123,01-01-25 20:30,CUST80592,MER6729,SBI,Bank of Baroda,Delhi,Android,UPI ID,1237.07,Failed,1848,5,228.82,0,36.19,86.33,5.27,Normal Activity,Legitimate,0
UPI1000124,01-01-25 20:40,CUST18110,MER3723,HDFC,HDFC,Bhopal,Android,UPI ID,1446.26,Success,929,6,338.08,1,73.29,66,9.96,Normal Activity,Legitimate,0
UPI1000125,01-01-25 20:50,CUST89309,MER1358,PNB,Kotak,Pune,Web,QR Code,2717.83,Success,1638,5,491.13,1,79.84,30.56,16.92,Normal Activity,Legitimate,0
UPI1000126,01-01-25 21:00,CUST37266,MER3286,Axis,PNB,Jaipur,Android,QR Code,677.84,Pending,1593,7,133.73,2,91.88,44.75,1.53,Normal Activity,Legitimate,0
UPI1000127,01-01-25 21:10,CUST62992,MER2765,PNB,Bank of Baroda,Pune,Android,Mobile Number,741.05,Success,1858,2,294.68,1,32.45,4.58,3.42,Normal Activity,Legitimate,0
UPI1000128,01-01-25 21:20,CUST92948,MER1804,Bank of Baroda,ICICI,Bhopal,Android,QR Code,129.22,Success,1012,2,108.42,0,93.02,89.82,1.22,Normal Activity,Legitimate,0
UPI1000129,01-01-25 21:30,CUST16910,MER6649,HDFC,HDFC,Pune,Android,QR Code,973.75,Success,1343,8,214.72,0,0.95,65.12,1.79,Normal Activity,Legitimate,0
UPI1000130,01-01-25 21:40,CUST10206,MER3730,Canara Bank,Bank of Baroda,Delhi,Android,QR Code,463.71,Reversed,1086,6,69.96,0,69.74,95.9,0.51,Normal Activity,Legitimate,0
UPI1000131,01-01-25 21:50,CUST97054,MER6991,HDFC,ICICI,Kolkata,Android,UPI ID,997.81,Success,171,4,233.45,1,8.2,42.93,18.38,Normal Activity,Legitimate,0
UPI1000132,01-01-25 22:00,CUST97897,MER8825,Axis,Axis,Bhopal,Android,QR Code,467.5,Success,473,4,835.29,0,22.4,96.29,9.44,Normal Activity,Legitimate,0
UPI1000133,01-01-25 22:10,CUST33419,MER1142,HDFC,PNB,Ahmedabad,Android,Mobile Number,306.76,Success,507,2,195.46,0,47.45,7.01,18.02,Normal Activity,Legitimate,0
UPI1000134,01-01-25 22:20,CUST60636,MER1283,Kotak,HDFC,Mumbai,Android,Mobile Number,571.95,Success,1379,3,527.09,0,89.49,36.55,2.49,Normal Activity,Legitimate,0
UPI1000135,01-01-25 22:30,CUST60015,MER8092,HDFC,Kotak,Pune,Android,UPI ID,101.61,Success,1521,9,313.14,0,51.48,87.17,11.9,Normal Activity,Legitimate,0
UPI1000136,01-01-25 22:40,CUST64268,MER1383,Bank of Baroda,Axis,Bengaluru,Android,UPI ID,334.86,Success,686,6,188.7,2,19.82,95.57,16.15,Normal Activity,Legitimate,0
UPI1000137,01-01-25 22:50,CUST97939,MER2578,Kotak,ICICI,Kolkata,iOS,QR Code,1251.91,Success,1995,2,945.39,0,60.77,84.05,3.95,Normal Activity,Fraud,1
